rating,genres,description,title,imdb_id,director,length,number_of_rating,year,img,weighted_rating
6.8,"Action,Drama,Romance","Sanju, a jobless computer engineer, who has to pay his debt to 'Vaddi' Raja, an unkind money lender, elopes with his lover Ammu as her father refuses to get her married to the jobless Sanju.",Run,/title/tt5584506/,Ani Kanneganti,110 mins.,8,2016,"http://ia.media-imdb.com/images/M/MV5BZjc3MTc4ZTQtYjA4ZS00ZGQyLWE3OWUtMzgwNzAzZGZmZGE0XkEyXkFqcGdeQXVyNTE0NDY5Njc@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3878
6.8,Horror,"A mysterious man offers John hope with his dying wife. A locket, which will grant a single wish. John wishes that death cease to exist. Chaos ensues as the living can't die, and the dead can't remain in the grave.",Nathan Thomas Milliner's a Wish for the Dead,/title/tt3691468/,Nathan Thomas Milliner,85 mins.,6,2016,"http://ia.media-imdb.com/images/M/MV5BYjNlY2YyYTQtYTZhMC00Mjg0LTgxYjgtNGFhMGFjNGU2NjJiXkEyXkFqcGdeQXVyMjIxOTY4MTA@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3878
6.7,"Drama,Sci-Fi,Thriller",A young woman washes ashore and is taken in by a stranger.,Driftwood,/title/tt4532446/,Paul Taylor,75 mins.,9,2016,"http://ia.media-imdb.com/images/M/MV5BMTc3MTUxNjY5Nl5BMl5BanBnXkFtZTgwODMwMTk2NzE@._V1_UX182_CR0,0,182,268_AL_.jpg",3.3874
6.6,"Drama,Mystery,Thriller",A mother and daughter fight a minister for possession of their new home.,House on Rodeo Gulch,/title/tt2470060/,William Scherer,110 mins.,8,2016,"http://ia.media-imdb.com/images/M/MV5BMjI0NjE2NDE0NF5BMl5BanBnXkFtZTgwMTY4NjQ5MDE@._V1_UY268_CR1,0,182,268_AL_.jpg",3.387
6.6,Horror,"Popular prank TV show, Scare Campaign, has been entertaining audiences for the last 5 years with its mix of old school scares and hidden camera fun...",Scare Campaign,/title/tt4467626/,Cameron Cairnes,,8,2016,"http://ia.media-imdb.com/images/M/MV5BZTAxMTNiM2YtZGY1Yi00MjIwLWI4NGMtZjM5NjRjODIxNzI3XkEyXkFqcGdeQXVyMjg0MTY0Mw@@._V1_UY268_CR3,0,182,268_AL_.jpg",3.387
6.5,"Animation,Adventure,Family",Molly Monster is the deeply-loved only-monster of Popo and Etna Monster. She spends her days in familiar...,Ted Sieger's Molly Monster - Der Kinofilm,/title/tt4439784/,Matthias Bruhn,70 mins.,6,2016,"http://ia.media-imdb.com/images/M/MV5BMjRiM2VkOTktYzE2NC00ZmQ1LTgwMmUtM2QzMGI1OGNhNzQ3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_UY268_CR156,0,182,268_AL_.jpg",3.3869
6.7,"Drama,Thriller",Young doctor Fabian travels to Lisbon to win back his ex-girlfriend Doro. While the two of them are gradually getting closer again they are being haunted by their fears. Fabian's jealousy once again puts their relationship to the test.,Fado,/title/tt4131594/,Jonas Rothlaender,101 mins.,26,2016,"http://ia.media-imdb.com/images/M/MV5BZDgwOTRmNjEtMzRmMC00ZTBlLWE3ZDQtNDljODE3Yzk1NmEzXkEyXkFqcGdeQXVyMjI2MDQ4MjI@._V1_UY268_CR4,0,182,268_AL_.jpg",3.38675
6.7,Animation,The lovably simple residents of peaceful Kikoriki Island are thrown kicking and screaming into big adventure...,Kikoriki. Legend of the Golden Dragon,/title/tt5302150/,Denis Chernov,,29,2016,"http://ia.media-imdb.com/images/M/MV5BMGI0NGE5ODAtMmYxNC00ZTA3LTk5MTctMjczMTRjNzI0NjZhXkEyXkFqcGdeQXVyNTA4OTk2MzY@._V1_UY268_CR2,0,182,268_AL_.jpg",3.38665
6.7,Comedy,"American investment fund buys Austrian companies, but also takes over politics in Vienna. Money still makes the world go round.",WiNWiN,/title/tt5376720/,Daniel Hoesl,84 mins.,29,2016,"http://ia.media-imdb.com/images/M/MV5BZDU4MzhmYjYtZjJlZC00MGIxLWI4Y2EtNDdhNTY4NjI1MDA2XkEyXkFqcGdeQXVyNDk4NzAxNzk@._V1_UY268_CR3,0,182,268_AL_.jpg",3.38665
6.7,"Comedy,Drama,Thriller","This mockumentary follows an unnamed director and narrator (Wyatt Cenac) down to Argentina, where he's filming Jacqueline, who claims to be blowing the whistle on a plot to assassinate an Arab politician.",Jacqueline Argentine,/title/tt4734132/,Bernardo Britto,87 mins.,31,2016,"http://ia.media-imdb.com/images/M/MV5BMzA4MTczOTU4Ml5BMl5BanBnXkFtZTgwOTA3NTA0NzE@._V1_UY268_CR147,0,182,268_AL_.jpg",3.3866
